id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
37,33,management,married,tertiary,no,41311,yes,no,unknown,16,jun,64,3,386,0,unknown,0
38,53,technician,divorced,secondary,no,78740,no,yes,cellular,27,may,121,4,428,0,unknown,1
39,42,retired,married,primary,no,79627,no,no,cellular,30,aug,158,1,524,0,unknown,0
40,31,admin.,married,secondary,no,3245,yes,no,cellular,21,nov,1074,1,164,0,unknown,0
41,49,services,married,secondary,no,89806,no,yes,cellular,9,aug,158,2,26,0,unknown,0
42,32,self-employed,single,secondary,no,-3882,no,yes,cellular,7,jul,271,4,183,0,unknown,0
43,40,entrepreneur,married,tertiary,no,42803,yes,yes,cellular,4,apr,177,2,72,0,unknown,0
44,39,management,married,tertiary,no,40974,no,no,cellular,20,aug,158,1,337,0,unknown,0
45,42,management,married,tertiary,no,87111,yes,yes,cellular,6,nov,101,3,851,1,failure,0
46,31,technician,married,tertiary,no,29444,no,no,cellular,7,jul,271,4,305,0,unknown,0
47,46,housemaid,married,secondary,no,41193,yes,no,unknown,6,may,138,3,167,0,unknown,0
48,30,self-employed,married,secondary,no,60042,no,yes,cellular,21,nov,158,2,741,0,unknown,0
49,31,technician,married,secondary,no,41775,yes,yes,cellular,8,aug,158,2,393,0,unknown,0
50,30,blue-collar,single,secondary,no,39377,yes,yes,cellular,18,may,121,1,699,0,unknown,0
51,31,management,married,tertiary,no,46789,no,no,cellular,22,aug,158,2,677,0,unknown,0
52,35,management,single,tertiary,no,44704,no,no,cellular,21,nov,158,2,114,0,unknown,0
53,34,technician,married,secondary,no,32918,yes,no,cellular,27,may,345,1,664,0,unknown,0
54,49,technician,married,tertiary,no,84932,no,no,cellular,7,jul,69,1,713,0,unknown,1
55,35,services,divorced,primary,no,47753,no,no,cellular,7,jul,126,2,139,1,other,0
56,46,entrepreneur,married,tertiary,no,65739,no,no,cellular,6,jun,177,1,534,0,unknown,0
57,35,technician,married,secondary,no,29921,yes,no,unknown,16,may,152,1,780,0,unknown,0
58,34,management,married,tertiary,no,66164,yes,no,cellular,27,may,345,1,359,0,unknown,0
59,32,blue-collar,married,primary,no,13233,no,no,cellular,26,aug,158,4,278,0,unknown,0
60,37,services,married,secondary,no,23688,no,no,telephone,12,jul,158,1,754,0,unknown,0
61,30,services,married,secondary,no,102038,yes,no,unknown,26,may,121,1,194,0,unknown,0
62,31,management,married,tertiary,no,23941,yes,no,cellular,30,feb,101,1,160,0,failure,0
63,29,blue-collar,married,secondary,no,95026,yes,no,unknown,16,may,345,2,17,0,unknown,0
64,31,blue-collar,married,primary,no,67891,yes,yes,cellular,17,apr,101,3,279,0,unknown,0
65,35,management,married,tertiary,no,9558,yes,no,cellular,27,may,345,2,381,0,unknown,0
66,53,blue-collar,married,primary,no,48210,no,no,cellular,4,feb,158,2,427,0,unknown,0
67,29,unemployed,married,secondary,no,84726,yes,no,cellular,30,oct,101,1,112,2,success,1
68,60,management,married,unknown,no,92611,no,no,cellular,11,may,101,1,536,0,failure,0
69,34,blue-collar,single,secondary,no,-2138,yes,no,unknown,15,may,345,2,401,0,unknown,0
70,35,technician,married,secondary,no,97789,yes,no,unknown,20,jun,184,3,526,0,unknown,0
71,30,technician,married,tertiary,no,60756,yes,no,cellular,14,jul,271,1,452,0,unknown,0
72,51,management,married,tertiary,no,37933,no,no,cellular,18,aug,158,1,12,0,unknown,1
73,37,blue-collar,married,secondary,no,69208,yes,no,unknown,20,jun,87,1,425,0,unknown,0
74,30,blue-collar,single,secondary,no,26881,no,yes,cellular,7,jul,271,1,293,0,unknown,0
75,37,blue-collar,single,unknown,no,31845,yes,no,cellular,28,may,101,2,62,0,failure,0
76,37,management,married,tertiary,no,71727,yes,no,cellular,17,jul,158,1,389,0,unknown,0
77,37,admin.,married,secondary,no,94867,yes,no,cellular,27,may,345,1,457,0,unknown,0
78,35,management,married,tertiary,no,54936,yes,no,cellular,21,nov,121,1,301,0,unknown,1
79,34,blue-collar,single,secondary,no,13364,no,no,cellular,27,may,69,2,720,0,unknown,0
80,37,management,married,tertiary,no,78672,yes,no,cellular,7,may,101,1,152,0,failure,0
81,34,admin.,single,secondary,no,-4878,yes,no,cellular,12,may,138,2,119,0,failure,1
82,30,self-employed,married,tertiary,no,53164,no,no,cellular,7,jul,271,3,737,0,unknown,0
83,37,student,single,unknown,no,22112,no,no,unknown,20,jun,177,1,700,0,unknown,0
84,60,retired,married,unknown,no,-630,yes,no,cellular,28,jan,101,1,836,0,failure,0
85,30,management,married,tertiary,no,49698,no,no,cellular,26,aug,158,3,710,0,unknown,1
86,31,technician,married,secondary,no,95909,yes,yes,unknown,16,may,259,2,369,0,unknown,0
87,32,technician,single,secondary,no,9604,no,no,cellular,28,jul,158,4,221,0,unknown,0
88,33,management,single,tertiary,no,43216,yes,no,cellular,3,apr,101,2,433,0,unknown,0
89,45,blue-collar,married,secondary,no,62073,yes,no,telephone,3,apr,14,1,639,1,other,0
90,31,technician,married,secondary,no,97290,yes,no,cellular,27,may,345,1,27,0,unknown,0
91,33,blue-collar,single,secondary,no,12091,no,no,unknown,25,may,152,1,154,0,unknown,0
92,32,services,married,unknown,no,70732,no,no,cellular,28,apr,177,1,811,0,unknown,0
93,35,management,married,tertiary,no,90707,yes,no,cellular,27,may,345,1,83,0,unknown,0
94,31,blue-collar,single,secondary,no,8460,yes,yes,cellular,18,nov,351,2,503,0,failure,0
95,45,self-employed,divorced,primary,no,44822,yes,no,cellular,15,nov,87,1,843,0,failure,0
96,37,admin.,married,secondary,no,100815,yes,no,unknown,2,jun,64,2,423,0,unknown,0
97,32,management,single,tertiary,no,1418,no,no,cellular,8,nov,101,1,594,0,unknown,0
98,37,self-employed,married,secondary,no,50656,yes,no,cellular,27,may,345,2,649,0,unknown,0
99,60,entrepreneur,married,tertiary,no,28696,yes,yes,cellular,30,jul,66,3,237,0,unknown,0
100,42,admin.,married,secondary,no,1496,yes,no,cellular,20,apr,177,1,727,0,unknown,1
101,34,management,married,tertiary,no,31909,yes,no,cellular,27,may,345,2,772,0,unknown,0
102,30,technician,married,secondary,no,30649,no,no,cellular,18,aug,158,2,753,0,unknown,0
103,32,blue-collar,married,secondary,no,92650,yes,no,cellular,27,may,121,3,129,0,unknown,0
104,33,management,married,secondary,no,52882,yes,no,cellular,27,may,345,2,726,0,unknown,0
105,31,management,single,secondary,no,64402,yes,no,cellular,27,may,345,3,247,0,unknown,0
106,36,admin.,divorced,primary,no,4024,no,no,cellular,21,nov,132,3,841,0,unknown,0
107,36,blue-collar,single,secondary,no,11474,no,no,cellular,28,jan,158,4,492,0,unknown,0
108,53,blue-collar,single,unknown,no,84298,no,yes,unknown,2,jun,612,3,217,0,unknown,0
109,33,management,married,tertiary,no,93705,yes,no,cellular,12,may,345,1,500,0,unknown,0
110,30,services,married,unknown,no,64579,no,no,unknown,20,jun,87,1,591,0,unknown,0
111,30,technician,married,unknown,no,74482,no,no,cellular,20,nov,826,1,277,0,other,0
112,37,management,single,tertiary,no,-805,yes,no,unknown,16,may,658,1,481,0,unknown,1
113,33,management,single,tertiary,no,35216,no,yes,cellular,18,aug,158,1,549,0,unknown,0
114,33,blue-collar,divorced,primary,no,92036,yes,no,cellular,20,apr,121,3,340,0,unknown,0
115,31,admin.,single,secondary,no,98249,yes,yes,unknown,26,may,658,2,594,0,unknown,0
116,30,housemaid,married,primary,no,91444,no,no,unknown,16,may,152,2,638,0,unknown,0
117,34,services,married,secondary,no,65764,yes,no,unknown,15,may,152,1,598,0,unknown,0
118,31,technician,single,secondary,no,62393,yes,no,unknown,26,may,121,2,772,0,unknown,1
119,40,admin.,married,secondary,no,4190,no,no,unknown,23,may,152,2,202,0,unknown,1
120,31,blue-collar,married,secondary,no,81943,yes,no,cellular,27,may,345,1,282,0,unknown,0
121,49,blue-collar,married,primary,no,89453,no,no,unknown,6,jun,177,2,664,0,unknown,0
122,34,management,married,secondary,no,45255,yes,no,cellular,27,may,345,3,540,0,unknown,0
123,37,technician,married,secondary,no,28021,yes,yes,cellular,17,may,82,2,358,0,unknown,0
124,43,management,divorced,unknown,no,85936,no,no,cellular,18,aug,158,2,775,0,unknown,0
125,31,technician,single,secondary,no,39516,yes,no,cellular,27,may,345,1,857,0,unknown,0
126,31,technician,married,secondary,no,11217,yes,no,cellular,6,nov,87,1,375,0,failure,0
127,43,technician,married,secondary,no,82745,yes,yes,unknown,16,may,658,3,499,0,unknown,0
128,30,management,married,tertiary,no,-5166,yes,no,cellular,28,jul,271,4,52,0,unknown,0
129,37,admin.,divorced,secondary,no,30926,yes,no,cellular,27,may,14,2,510,0,unknown,0
130,33,blue-collar,married,secondary,no,60836,yes,no,unknown,15,may,152,2,195,0,unknown,0
131,31,blue-collar,married,primary,no,83180,yes,no,cellular,18,aug,158,1,758,0,unknown,0
132,30,services,married,secondary,no,43309,yes,no,unknown,26,may,345,1,367,0,unknown,0
133,29,technician,married,tertiary,no,90327,yes,no,unknown,30,may,207,1,555,0,unknown,0
134,30,technician,single,secondary,no,3153,yes,no,unknown,2,jun,87,1,123,0,unknown,0
135,37,entrepreneur,married,secondary,no,37974,no,no,cellular,27,may,177,3,251,0,unknown,0
136,30,admin.,married,primary,no,-6320,yes,yes,unknown,6,jun,52,2,505,0,unknown,0
137,49,technician,divorced,unknown,no,84765,no,no,cellular,28,jul,158,2,102,0,unknown,0
138,40,admin.,married,secondary,no,28561,yes,no,unknown,16,may,152,1,350,0,unknown,0
139,56,blue-collar,married,primary,no,3648,no,yes,unknown,20,jun,177,1,311,0,unknown,0
140,32,admin.,married,secondary,no,82746,yes,no,cellular,27,may,345,1,71,0,unknown,0
141,31,technician,married,secondary,no,75676,yes,no,cellular,21,apr,87,1,833,1,failure,0
142,30,admin.,married,secondary,no,73667,no,no,unknown,2,jun,117,1,727,0,unknown,0
143,48,services,divorced,primary,no,100631,no,no,cellular,4,aug,67,2,298,0,unknown,0
144,34,blue-collar,single,secondary,no,46248,yes,no,cellular,17,apr,72,1,10,0,unknown,0
145,45,management,divorced,tertiary,no,67722,yes,yes,cellular,18,aug,177,1,287,0,unknown,0
146,41,self-employed,married,secondary,no,27443,no,yes,cellular,13,may,14,4,592,0,unknown,0
147,35,technician,married,tertiary,no,11110,yes,no,cellular,27,may,121,1,570,0,unknown,0
148,43,retired,married,secondary,no,93729,yes,no,unknown,26,may,259,2,294,0,unknown,0
149,35,management,married,tertiary,no,1504,yes,no,cellular,17,apr,87,1,164,0,unknown,0
150,32,admin.,married,secondary,no,-5982,yes,no,cellular,21,nov,101,1,210,1,other,0
151,49,self-employed,married,unknown,no,52535,no,no,cellular,5,may,14,1,709,0,unknown,1
152,56,management,divorced,unknown,no,50723,no,no,unknown,20,jun,177,2,194,0,unknown,0
153,32,admin.,single,secondary,no,14902,yes,no,cellular,3,apr,72,1,110,0,unknown,0
154,31,admin.,single,secondary,no,78862,no,no,cellular,8,apr,158,1,728,0,unknown,1
155,44,management,married,tertiary,no,23679,no,no,cellular,14,aug,158,2,462,0,unknown,1
156,31,blue-collar,married,secondary,no,84797,yes,no,unknown,15,may,152,1,87,0,unknown,0
157,40,blue-collar,married,secondary,no,73622,yes,no,unknown,30,may,126,1,693,0,unknown,0
158,30,entrepreneur,married,tertiary,no,53300,no,no,unknown,8,may,67,2,155,0,unknown,0
159,32,student,single,secondary,no,21482,no,no,unknown,20,jun,177,1,91,0,unknown,0
160,37,blue-collar,married,secondary,no,54814,yes,no,cellular,8,may,755,1,628,0,unknown,0
161,36,admin.,married,secondary,no,27228,yes,no,cellular,27,may,345,1,719,0,unknown,0
162,31,blue-collar,married,unknown,no,77672,yes,no,telephone,12,jul,158,1,715,0,unknown,0
163,31,blue-collar,single,secondary,no,-5415,yes,no,unknown,15,may,345,4,631,0,unknown,0
164,49,self-employed,married,tertiary,no,81485,no,no,cellular,29,aug,158,2,457,0,unknown,0
165,40,housemaid,single,secondary,no,93127,no,no,cellular,15,jul,158,1,368,0,unknown,0
166,51,management,divorced,tertiary,no,43890,no,no,cellular,8,aug,48,2,588,0,unknown,0
167,39,management,married,tertiary,no,86051,yes,no,unknown,23,may,121,1,648,0,unknown,0
168,31,blue-collar,married,primary,no,34684,no,no,cellular,13,aug,158,2,259,0,unknown,0
169,49,management,married,secondary,no,10166,yes,yes,cellular,4,apr,14,2,377,0,unknown,0
170,33,blue-collar,married,secondary,no,92951,yes,no,cellular,27,may,345,1,442,0,unknown,0
171,46,blue-collar,married,secondary,no,66238,yes,no,cellular,7,may,82,1,255,0,other,0
172,25,technician,single,secondary,no,67457,yes,no,cellular,7,jul,271,2,394,0,unknown,0
173,48,technician,married,tertiary,no,11288,no,no,cellular,18,aug,158,2,195,0,unknown,0
174,34,management,divorced,tertiary,no,69101,yes,no,unknown,26,may,658,2,293,0,unknown,0
175,39,technician,married,secondary,no,99065,yes,no,unknown,16,may,345,1,706,0,unknown,0
176,35,services,married,tertiary,no,36954,yes,no,unknown,16,may,245,4,309,0,unknown,0
177,43,services,married,secondary,no,53119,no,no,unknown,16,may,58,1,414,0,unknown,0
178,57,retired,married,secondary,no,9898,no,no,telephone,2,jun,64,1,764,0,unknown,0
179,36,blue-collar,married,primary,no,61004,yes,no,cellular,12,may,82,1,705,1,failure,0
180,33,blue-collar,married,secondary,no,79109,yes,no,unknown,15,may,345,4,620,0,unknown,0
181,48,housemaid,single,tertiary,no,-5519,no,no,cellular,14,aug,158,3,336,0,unknown,0
182,31,blue-collar,married,secondary,no,9673,yes,no,cellular,27,may,345,1,548,0,unknown,0
183,33,management,married,secondary,no,44243,yes,no,cellular,27,may,345,1,412,0,unknown,0
184,34,blue-collar,married,secondary,no,49327,yes,no,cellular,12,may,87,2,170,1,failure,0
185,33,blue-collar,married,secondary,no,17403,yes,no,cellular,15,may,345,1,482,0,unknown,0
186,30,self-employed,married,primary,no,91670,no,no,cellular,4,aug,158,2,735,0,unknown,0
187,40,blue-collar,married,primary,no,22549,yes,no,cellular,13,mar,555,2,754,2,success,1
188,31,blue-collar,single,secondary,no,71291,no,yes,cellular,27,may,69,2,598,1,unknown,0
189,32,services,married,secondary,no,66359,yes,yes,unknown,16,may,152,1,131,0,unknown,0
190,31,management,married,tertiary,no,21161,yes,no,cellular,4,apr,141,2,75,0,unknown,0
191,32,entrepreneur,single,tertiary,no,72687,no,no,cellular,20,may,207,1,161,0,failure,0
192,31,blue-collar,single,secondary,no,45746,no,no,cellular,21,nov,158,2,794,0,unknown,0
193,31,admin.,married,tertiary,no,94810,yes,no,cellular,27,may,121,3,600,0,unknown,0
194,35,blue-collar,married,secondary,no,85609,yes,no,cellular,27,may,345,1,291,0,unknown,0
195,30,management,married,tertiary,no,94820,yes,no,cellular,18,nov,158,2,762,0,unknown,0
196,32,admin.,single,secondary,no,62541,yes,yes,cellular,7,jul,158,4,658,0,unknown,0
197,33,blue-collar,married,secondary,no,55937,yes,no,cellular,8,may,755,2,483,0,unknown,0
198,31,management,single,tertiary,no,37035,no,no,cellular,17,feb,158,1,305,0,unknown,0
199,30,housemaid,single,secondary,no,47367,yes,no,cellular,7,jul,271,4,383,0,unknown,0
200,31,services,single,secondary,no,36685,yes,yes,cellular,27,may,121,3,606,0,unknown,0
201,29,management,married,unknown,no,78407,no,no,cellular,17,may,177,2,155,0,unknown,1
202,34,services,divorced,primary,no,68085,yes,no,unknown,8,may,152,2,530,0,unknown,0
203,30,management,single,tertiary,no,64075,no,no,cellular,18,aug,158,2,479,0,unknown,0
204,27,admin.,married,secondary,no,92725,yes,no,cellular,27,may,345,1,209,0,unknown,0
205,34,management,single,tertiary,no,75508,yes,no,cellular,8,may,345,1,362,0,unknown,0
206,43,housemaid,divorced,secondary,no,77518,no,no,cellular,17,may,121,1,467,0,unknown,0
207,31,blue-collar,married,primary,no,29917,yes,yes,unknown,26,may,259,1,733,0,unknown,0
208,30,technician,married,secondary,no,81367,no,no,cellular,4,feb,158,1,466,0,unknown,0
209,31,technician,married,secondary,no,94591,yes,yes,cellular,27,may,121,3,332,0,unknown,0
210,31,technician,married,secondary,no,8092,yes,no,cellular,27,may,345,1,729,0,unknown,0
211,30,retired,married,secondary,no,99067,yes,no,unknown,26,may,658,1,477,0,unknown,0
212,33,technician,married,secondary,no,98495,yes,no,cellular,27,may,345,1,838,0,unknown,0
213,30,technician,married,secondary,no,8477,no,no,unknown,16,may,259,2,670,0,unknown,0
214,31,technician,married,tertiary,no,10391,yes,yes,unknown,16,may,658,1,9,0,unknown,0
215,34,blue-collar,single,secondary,no,-6783,yes,no,cellular,17,apr,87,2,700,1,failure,0
216,35,technician,married,secondary,no,19106,yes,no,cellular,27,may,345,2,768,0,unknown,0
217,30,technician,married,secondary,no,42757,no,no,cellular,26,aug,158,4,819,0,unknown,0
218,35,technician,divorced,tertiary,no,31867,no,no,unknown,16,may,345,1,404,0,unknown,0
219,32,blue-collar,married,primary,no,73806,no,no,cellular,27,may,14,2,50,0,success,1
220,34,management,married,tertiary,no,39645,yes,no,cellular,27,may,345,2,671,0,unknown,0
221,30,technician,single,tertiary,no,101013,no,no,cellular,8,aug,158,1,410,0,unknown,0
222,31,technician,married,secondary,no,76159,no,no,cellular,18,aug,48,2,7,0,unknown,0
223,35,technician,single,tertiary,no,99126,no,no,cellular,27,may,121,2,228,0,unknown,0
224,57,retired,married,unknown,no,20735,no,no,unknown,30,may,142,1,195,0,unknown,0
225,35,blue-collar,married,secondary,no,7317,yes,no,cellular,27,may,345,1,223,0,unknown,0
226,32,technician,single,secondary,no,91408,no,no,cellular,28,jul,56,1,784,0,failure,0
227,32,services,married,secondary,no,28912,yes,no,unknown,16,may,345,4,517,0,unknown,0
228,49,services,married,secondary,no,55572,no,no,unknown,2,jun,177,1,354,0,unknown,0
229,31,technician,divorced,secondary,no,88825,no,yes,cellular,27,may,121,2,511,0,unknown,0
230,32,services,married,secondary,no,71124,yes,no,cellular,27,may,1045,2,245,0,unknown,0
231,33,admin.,married,secondary,no,76575,yes,no,cellular,27,may,345,2,158,0,unknown,0
232,31,management,married,tertiary,no,20858,yes,no,cellular,27,may,345,1,149,0,unknown,0
233,60,student,married,unknown,no,69593,no,no,cellular,28,nov,158,1,10,0,unknown,1
234,34,technician,married,secondary,no,20412,yes,no,unknown,20,may,259,2,457,0,unknown,0
235,49,entrepreneur,married,secondary,no,55024,yes,no,telephone,21,nov,14,3,71,0,unknown,0
236,33,blue-collar,married,secondary,no,66992,yes,no,cellular,27,may,345,1,339,0,unknown,0
237,34,self-employed,married,tertiary,no,62736,yes,yes,unknown,20,jun,117,1,732,0,unknown,0
238,48,services,divorced,secondary,no,-6515,no,no,cellular,21,nov,48,1,586,0,unknown,0
239,49,housemaid,married,primary,no,96845,no,no,cellular,21,aug,158,2,321,0,unknown,0
240,31,self-employed,single,tertiary,no,68416,no,no,cellular,21,nov,177,1,239,0,unknown,0
241,33,management,married,tertiary,no,70875,yes,no,unknown,15,may,246,2,203,0,unknown,0
242,34,technician,single,secondary,no,69957,yes,no,unknown,26,may,345,1,578,0,unknown,0
243,35,management,married,tertiary,no,-3400,yes,no,cellular,21,nov,101,2,554,1,other,0
244,35,technician,married,secondary,no,93499,yes,no,cellular,28,jan,101,3,394,0,failure,0
245,30,blue-collar,married,primary,no,78970,yes,no,cellular,27,may,121,1,69,0,unknown,0
246,31,technician,married,primary,no,66349,no,no,cellular,11,aug,158,4,674,0,unknown,0
247,34,services,single,secondary,no,30050,no,no,unknown,26,may,152,1,209,0,unknown,0
248,49,housemaid,married,primary,no,18203,no,no,cellular,13,aug,158,4,828,0,unknown,0
249,31,admin.,single,secondary,no,96048,yes,yes,cellular,18,aug,158,2,75,0,unknown,0
250,55,management,single,tertiary,no,77514,no,no,cellular,17,jul,66,2,384,0,unknown,0
251,35,management,married,tertiary,no,-3518,yes,no,cellular,17,nov,87,1,58,0,failure,0
252,30,services,married,tertiary,no,28293,yes,no,unknown,16,may,259,3,550,0,unknown,0
253,31,management,single,secondary,no,72961,yes,no,unknown,16,may,126,2,379,0,unknown,0
254,30,admin.,single,secondary,no,74220,no,no,telephone,3,apr,826,1,603,0,unknown,0
255,48,housemaid,married,primary,no,38341,yes,no,cellular,13,nov,101,1,479,0,failure,0
256,31,admin.,divorced,secondary,no,88468,yes,yes,cellular,7,jul,271,4,867,0,unknown,0
257,42,self-employed,married,secondary,no,66557,no,no,telephone,6,nov,158,2,770,0,unknown,0
258,30,self-employed,single,secondary,no,91648,yes,yes,cellular,7,jul,271,4,863,0,unknown,0
259,43,admin.,married,secondary,no,73834,no,no,cellular,30,oct,826,1,668,2,success,1
260,35,technician,married,secondary,no,84190,yes,no,cellular,4,aug,158,1,221,0,unknown,0
261,30,services,single,secondary,no,13536,yes,yes,cellular,20,apr,158,3,416,0,unknown,0
262,46,management,married,secondary,no,72149,no,no,cellular,30,jun,132,1,498,0,unknown,0
263,35,technician,divorced,primary,no,52595,yes,no,cellular,7,jul,189,3,255,0,unknown,0
264,33,technician,married,secondary,no,78986,yes,no,cellular,27,may,345,4,525,0,unknown,0
265,60,management,single,tertiary,no,-2835,no,no,cellular,30,may,158,2,386,0,unknown,1
266,57,unemployed,married,secondary,no,2412,no,no,cellular,18,aug,158,3,455,0,unknown,0
267,42,services,married,secondary,no,-610,no,no,cellular,11,feb,101,1,737,0,failure,0
268,32,blue-collar,married,primary,no,61503,yes,no,unknown,2,jun,87,2,351,0,unknown,0
269,31,admin.,single,secondary,no,16632,yes,no,unknown,15,may,152,2,652,0,unknown,0
270,29,retired,married,primary,no,-5135,no,yes,cellular,8,jul,158,4,738,0,unknown,0
271,34,blue-collar,single,secondary,no,78858,yes,no,cellular,2,jun,184,1,690,0,unknown,0
272,34,technician,married,secondary,no,69955,yes,no,cellular,27,may,345,1,170,0,unknown,0
273,30,unemployed,single,tertiary,no,101736,no,no,cellular,4,feb,248,1,272,0,unknown,1
274,34,services,single,secondary,no,75757,yes,yes,unknown,2,jun,117,2,663,0,unknown,0
275,33,blue-collar,married,secondary,no,99858,yes,no,cellular,27,may,345,1,417,0,unknown,0
276,34,blue-collar,married,secondary,no,16659,yes,no,cellular,8,may,345,1,352,0,unknown,0
277,28,blue-collar,single,secondary,no,79496,no,yes,telephone,3,feb,72,3,785,0,unknown,0
278,36,entrepreneur,married,secondary,no,90896,no,no,cellular,2,jun,117,3,9,0,unknown,0
279,32,admin.,single,secondary,no,60466,yes,no,unknown,15,may,246,1,38,0,unknown,0
280,52,management,single,tertiary,no,71962,no,no,cellular,13,feb,101,2,737,2,success,1
281,33,management,married,secondary,no,86711,yes,no,cellular,27,may,345,1,579,0,unknown,0
282,36,entrepreneur,married,tertiary,no,45880,no,no,cellular,7,jul,158,2,403,0,unknown,0
283,31,blue-collar,married,secondary,no,19339,yes,no,cellular,18,aug,158,1,629,0,unknown,0
284,33,blue-collar,married,primary,no,5218,yes,no,unknown,16,may,345,1,253,0,unknown,0
285,33,technician,married,secondary,no,7365,yes,no,cellular,27,may,345,1,464,0,unknown,0
286,48,management,married,tertiary,no,81439,no,yes,cellular,17,apr,104,3,174,0,other,0
287,57,services,married,secondary,no,94337,no,no,cellular,19,nov,158,4,261,0,unknown,0
288,31,admin.,married,secondary,no,48733,yes,no,cellular,27,may,126,1,412,0,unknown,0
289,35,management,married,tertiary,no,96477,yes,no,cellular,27,may,345,1,770,0,unknown,0
290,31,services,married,secondary,no,97262,yes,yes,unknown,15,may,658,1,321,0,unknown,0
291,41,admin.,married,secondary,no,30812,no,yes,cellular,7,jul,158,4,166,0,unknown,0
292,30,services,married,secondary,no,46296,yes,yes,unknown,25,may,245,2,333,0,unknown,0
293,34,technician,married,secondary,no,79403,no,no,cellular,27,may,345,1,204,0,unknown,0
294,29,blue-collar,single,secondary,no,4604,no,no,cellular,14,jul,271,1,221,0,unknown,0
295,31,management,married,tertiary,no,63616,yes,no,cellular,15,aug,826,2,527,0,failure,0
296,53,retired,single,tertiary,no,63147,no,no,cellular,11,aug,158,3,822,0,unknown,0
297,32,admin.,single,secondary,no,80777,yes,no,cellular,27,may,121,4,410,1,unknown,0
298,30,unemployed,married,tertiary,no,28079,no,no,cellular,4,aug,158,1,796,0,unknown,0
299,31,blue-collar,married,secondary,no,22836,yes,no,cellular,27,may,345,1,650,0,unknown,0
